No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00183,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00184,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00185,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00186,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00187,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00188,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00189,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00190,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00191,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00192,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00193,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00194,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00195,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00196,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00197,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00198,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00199,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00200,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00201,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00202,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00203,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00204,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00205,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00206,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00207,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00208,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00209,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00210,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00211,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00212,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00213,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00214,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00215,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00216,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00217,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00218,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00219,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00220,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00221,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00222,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00223,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00224,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00225,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00226,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00227,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00228,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00229,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00230,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00231,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00232,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00233,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00234,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00235,9789812291783,Dragon Tales China's History from Tang to Qing,Lin Shan,Asiapac Books,2001,218,Dihadiahkan,English,F,FE,SHA,6,,
00236,9789812291509,Jokes & Comic Tales from Japan,Kum Fatt Chong,Asiapac Books,2003,120,Dihadiahkan,English,NF,808.88,KFC,3,,
00237,9780545808972,Thea Stilton Mouseford Academy: Mouselets In Danger,Thea Stilton,Scholastic,2019,108,23.90,English,F,FE,THE,1,,
00238,9789670342474,Tanya Pakar ,Norintan Zainal Shah,Grupbuku Karangkraf,2012,100,16.00,Malay,NF,618.2,NOR,8,,
00239,9781842399385,Space,Harry Ford and Kay Barnham,Alligator Books,2006,32,13.09,English,NF,600,HAR,2,,
00240,9789831720349,Fables from Around the World Timeless Tales with Timeless Morals. I,Penerbit Arowana,Penerbit Arowana,2001,304,Dihadiahkan,English,F,FE,ARO,2,,
00241,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00242,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00243,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00244,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00245,9789675248573,Kuda Yang Malang,Kelsom Masri,Edujaya,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00246,9789675248511,Tiga Azimat,Kelsom Masri,Edujaya,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,2,,
00247,9789675248412,Pertarungan Naga,Badrul Risham Naruddin,Edujaya,2010,110,Dihadiahkan,Malay,NF,398.2,BRN,1,,
00248,9789675248375,Selindung Bulan Kedah Tua,Badrul Risham Naruddin,Edujaya,2010,110,Dihadiahkan,Malay,NF,398.2,BRN,1,,
00249,9780861634064,Pretty - Star The Pony,Enid Blyton,Award Publications,2002,192,Dihadiahkan,English,F,FE,BLY,1,,
00250,9781841350202,Giants Round The Corner,Enid Blyton,Award Publications,2002,192,Dihadiahkan,English,F,FE,BLY,1,,
00251,9789838808408,Pak Pangkor,Kelsom Masri,Eddiplex Sdn. Bhd,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00252,9789838808415,Monyet dan Kura- Kura,Kelsom Masri,Eddiplex Sdn. Bhd,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00253,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00254,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00255,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00256,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00257,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00258,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00259,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00260,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00261,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00262,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00263,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00264,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00265,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00266,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00267,9839971735,White Death,Tim Vicary,Oxford University Press,1989,40,Dihadiahkan,English,F,FE,TIM,16,,
00268,9789670632568,Siri Fantasi Sains: Tapak Tangan Vs Telur,Tay Sing Ying,Sasmurni Bakti Sdn. Bhd.,2014,127,10.00,Malay,NF,741.5,TAY,1,,
00269,9789670632575,Siri Fantasi Sains: Haow!,Tay Sing Ying,Sasmurni Bakti Sdn. Bhd.,2014,127,10.00,Malay,NF,741.5,TAY,1,,
00270,9789670632438,Siri Fantasi Sains: Ekor Bertindak,Liong Xin Yi,Sasmurni Bakti Sdn. Bhd.,2014,127,10.00,Malay,NF,741.5,LIO,1,,
00271,9789670632544,Siri Fantasi Sains: Pemakanan Yang Hebat,Johnson Lim,Sasmurni Bakti Sdn. Bhd.,2014,127,10.00,Malay,NF,741.5,JOH,1,,
00272,9789838808439,Chamba,Kelsom Masri,Eddiplex Sdn. Bhd,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00273,9789670354026,Exploring Kelemar Mountain ,Kayla Chandran ,Penerbitan Inspirasi Cemerlang,2012,38,Dihadiahkan,English,F,FE,KAY,1,,
00274,9789811144370,Profession Series 15: Dream High Artiste,LaiSan Mei ; Popono Workshop,Ace Mind Publishing Pte Limited,2017,127,9.50,English,NF,741.59,LAI,1,,
00275,9781742767833,Tom Gates Yes! No. (maybe ...),Liz Pichon,Scholastic,2019,257,Dihadiahkan,English,F,FE,LIZ,1,,
00276,9789833555239,In The Blink Of An Eye,Felicia Jen,Express Education,2006,55,Dihadiahkan,English,F,FE,FEL,1,,
00277,9789675244414,Courtesy At The Shop,Rann Baker,Pustaka Ewan,2009,48,Dihadiahkan,English,F,FE,RAN,1,,
00278,9789678603126,Aliran Dakwah Di Malaysia,Abdul Rahman Hj Abdullah,Karya Bestari,2007,347,Dihadiahkan,Malay,NF,297.81,ABD,2,,
00279,9780545107921,Hotel For Dogs,Lois Duncan,Scholastic,2008,178,Dihadiahkan,English,F,FE,LOI,1,,
00280,9789675328220,Calvin 5,Zarina Ismail,Pustaka Gedung Ilmu,2013,108,Dihadiahkan,English,NF,823,ZAR,1,,
00281,9789814193030,"Mr. Midnight: Good Knight, Raider Goh and Sleep Over and Die",James Lee,Angsana Books,2005,126,Dihadiahkan,English,F,FE,LEE,1,,
00282,9789671065907,Mars 12 Destination Mars : When Dreams Become Reality,Ng Zhan Ming,Ng Zhan Ming ,2011,394,25.00,English,F,FE,NGZ,1,,
00283,9789834604905,Kumpulan Drama Anwar Ridhwan,Anwar Ridhwan,Dewan Bahasa dan Pustaka,2009,245,Dihadiahkan,Malay,NF,899.23,ANW,1,,
00284,9789834283483,Sun Yat Sen In Penang,"Khoo, Salma Nasution",Areca Books,2008,130,30.00,English,NF,959.51,KHO,1,,
00285,9789832284901,Meningkatkan Kualiti Kerja Anda,Dale Carnegie,Penerbitan Seribu Dinar,2006,133,13.50,Malay,NF,658.31,DAL,1,,
00286,9789832284871,Kuasa Berfikir Mencipta Kejayaan,Napolean Hill,Penerbitan Seribu Dinar,2004,294,19.00,Malay,NF,158.1,HIL,1,,
00287,9789832284864,Kunci Merencana Dan Strategi Menjadi Kaya,Napoleon Hill,Penerbitan Seribu Dinar,2006,309,21.00,Malay,NF,158.1,HIL,1,,
00288,9789670740379,Siri Profesion 05: Wira Tempur - Askar,Studio Profesion,Memori Arif Sdn Bhd,2018,125,10.00,Malay,NF,741.59,STU,1,,
00289,9789670740324,Siri Profesion 02: Kapten Kehidupan - Guru,Chan Shing Cheng,Memori Arif Sdn Bhd,2018,124,10.00,Malay,NF,741.59,CHA,1,,
00290,9789670740331,Siri Profesion 03: Cef Terhebat - Cef,Studio Pengarang,Memori Arif Sdn Bhd,2018,124,10.00,Malay,NF,741.59,STU,1,,
00291,9780545481878,Thea Stilton And The Dancing Shadows,Elisabetta Dami,Scholastic Paperbacks,2013,160,21.90,English,F,FE,DAM,1,,
00292,9780545103763,The Giant Diamond Robbery,Elisabetta Dami,Scholastic,2011,105,Dihadiahkan,English,F,FE,DAM,1,,
00293,9789622583207,Reader's Digest Inspirational Moments,Jim Plouffe,Reader's Digest As.,2004,159,49.00,English,NF,428.2,REA,2,,
00294,9781742767765,The Brilliant World of Tom Gates,Liz Pichon,Scholastic ,2011,238,Dihadiahkan,English,F,FE ,LIZ,1,,
00295,9781742767840,Tom Gates Top of the Class (nearly),Liz Pichon,Scholastic ,2015,210,Dihadiahkan,English,F,FE ,LIZ,1,,
00296,9781742767857,Super Good Skills (Almost) - Tom Gates,Liz Pichon,Scholastic ,2017,235,Dihadiahkan,English,F,FE ,LIZ,1,,
00297,9781742767772,Tom Gates Excellent Excuses (and other good stuff),Liz Pichon,Scholastic ,2011,340,Dihadiahkan,English,F,FE ,LIZ,1,,
00298,9781742767826,Tom Gates Book: A Tiny Bit Lucky,Liz Pichon,Scholastic ,2014,253,Dihadiahkan,English,F,FE ,LIZ,1,,
00299,9781742767789,Tom Gates Everything Amazing (Sort Of),Liz Pichon,Scholastic ,2012,404,Dihadiahkan,English,F,FE,LIZ,1,,
00300,9781742767802,Tom Gates is Absolutely Fantastic (at Some things),Liz Pichon,Scholastic ,2013,249,Dihadiahkan,English,F,FE ,LIZ,1,,
00301,9789670740317,Siri Profesion 01: Adiwira Jingga ,Lee Min Yi,Memori Arif,2018,124,10.00,Malay,NF,741.59,LEE,1,,
00302,9789811192517,Profession Series 10: The Getaway Trip Tourist Guide,Popono Workshop,Ace Mind Publishing Pte Limited,2019,127,Dihadiahkan,English,NF,741.59,POP,1,,
00303,9789811144349,Profession Series 12 : Detective Luke Private Detective,Miyou ,Ace Mind Publishing Pte Ltd,2017,127,Dihadiahkan,English,NF,741.59,NOT,1,,
00304,9789811192531,Profession Series 18: Circus Dreams,Popono Workshop,Ace Mind Publishing Pte. Ltd.,2019,127,Dihadiahkan,English,NF,741.59,POP,1,,
00305,9789670740409,Siri Profesion 07: Tangan Ajaib- Doktor,Studio Profesion,Memori Arif Sdn. Bhd.,2019,125,Dihadiahkan,Malay,NF,741.59,STU,1,,
00306,9789670740423,Siri Profesion 08: Penakluk Simfoni (Ahli Muzik),Studio Pofesion,Memori Arif Sdn. Bhd.,2019,125,Dihadiahkan,Malay,NF,741.59,STU,1,,
00307,9789672418825,Siri Profesion 13: Penggali Purba - Ahli Arkeologi,Studio Profesion,Comic Holic Sdn. Bhd.,2022,127,Dihadiahkan,Malay,NF,741.59,STU,1,,
00308,9789672237273,Siri Semesta: Permainan Berhantu,Arifin Muhammad,Penerbitan Harapan,2020,110,Dihadiahkan,Malay,F,FM,ARI,1,,
00309,9789672237303,Siri Semesta: Terlepas Dari Kegerunan Di Kinabalu,Arifin Muhammad,Penerbitan Harapan,2020,110,Dihadiahkan,Malay,F,FM,ARI,1,,
00310,9789672237266,Siri Semesta: Sahabat Dari Planet Kita,Arifin Muhammad,Penerbitan Harapan,2020,110,Dihadiahkan,Malay,F,FM,ARI,1,,
00311,9781907411625,The Abominators,J. L. Smith,"Little, Brown",2013,137,Dihadiahkan,English,F,FE,SMI,1,,
00312,9780857074751,Dork Diaries: Tales From A Not So Fabolous Life,Rachel Renee Russell,Simon & Schuster,2010,282,Dihadiahkan,English,F,FE,RUS,1,,
00313,9780141327655,Dog Days,Jeff Kinney,Amulet Books,2009,240,Dihadiahkan,English,F,FE,KIN,2,,
00314,9781409593423,Monsters To The Rescue,"Zanna Davidson, Melanie Williamson",Usborne Publishing Ltd,2017,73,Dihadiahkan,English,F,FE,DAV,1,,
00315,9781409593454,Monsters On The Move,"Zanna Davidson, Melanie Williamson",Usborne Publishing Ltd,2017,77,Dihadiahkan,English,F,FE,DAV,1,,
00316,9781409593416,Monsters In The Dark,"Zanna Davidson, Melanie Williamson",Usborne Publishing Ltd,2017,76,Dihadiahkan,English,F,FE,DAV,1,,
00317,9781409593430,Monsters Go Party!,"Zanna Davidson, Melanie Williamson",Usborne Publishing Ltd,2017,80,Dihadiahkan,English,F,FE,DAV,1,,
00318,9781474947596,Monsters At The Seaside,"Zannah Davidson, Melanie Williamson",Usborne Publishing Ltd,2019,80,Dihadiahkan,English,F,FE,DAV,1,,
00319,9781409593447,Monsters On A Plane,"Zanna Davidson, Melanie Williamson",Usborne Publishing Ltd,2017,80,Dihadiahkan,English,F,FE,DAV,1,,
00320,9780007336333,Evolution,Steve Alton,Harper Collins Publishers Limited,2011,47,Dihadiahkan,English,F,FE,STE,1,,
00321,9780007231232,How to Be a Roman in 21 Easy Stages,Scoular Anderson,Harper Collins Publishers Limited,2009,47,Dihadiahkan,English,F,FE,SCO,1,,
00322,9780007428281,Daybreak,Ally Kennen,Collins Educational,2012,80,Dihadiahkan,English,F,FE,KEN,1,,
00323,9780007530113,The Tear Jar,"Celia Rees, Giorgio Bacchin",Collins,2014,79,Dihadiahkan,English,F,FE,REE,1,,
00324,9780007428311,The House Across The Quaggy,"Chris Powling, Martin Ursell, Collins Big Cat Staff",HarperCollins Publishers Limited,2012,80,Dihadiahkan,English,F,FE,POW,1,,
00325,9780007230945,The Game Player Of Zob,Paul Shipton,HarperCollins Publishers,2007,47,Dihadiahkan,English,F,FE,SHI,1,,
00326,9780007428304,Beneath the Waves : Two Ghost Stories,"Harriet Goodwin, Leon Rosselson, Helen Van Vliet, Jimothy Oliver, Collins Big Cat",Harper Collins Publishers Limited,2012,80,Dihadiahkan,English,F,FE,GOO,1,,
00327,9780007231034,Selim-Hassan The Seventh And The Wall,Vivian French,Collins Educational,2008,55,Dihadiahkan,English,F,FE,FRE,1,,
00328,9780007307906,Nightmare Two Ghostly Tales,Berlie Doherty,Harper Collins Publishers,2009,55,Dihadiahkan,English,F,FE,DOH,1,,
00329,9780141333946,Dog Days,Jeff Kinney,Amulet Books,2009,240,Dihadiahkan,English,F,FE,KIN,2,,
00330,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00331,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00332,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00333,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00334,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00335,9781846161841,A Shakespeare Stories: Othello,"Andrew Matthews, Tony Ross, Andrew Matthews",Orchard Books,2007,64,Dihadiahkan,English,F,FE,MAT,1,,
00336,9781841213385,A Shakespeare Story : Anthony And Cleopatra,William Shakespeare,Orchard Books,2003,64,Dihadiahkan,English,F,FE,SHA,1,,
00337,9781408305058,A Shakespeare Story : The Taming Of The Shrew,Andrew Matthews,Orchard Books,2010,64,Dihadiahkan,Others,F,FE,MAT,1,,
00338,9781841213422,A Shakespeare Story : King Henry V ,William Shakespeare,Orchard Books,2003,64,Dihadiahkan,English,F,FE,SHA,1,,
00339,9781408305065,A Shakespeare Story : Julius Caesar ,Andrew Matthews,Orchard Books,2010,64,Dihadiahkan,English,F,FE,MAT,1,,
00340,9789814315272,"Jordon Koh, Where Did You Go? My Night In A Haunted Hotel",James Lee,Angsana Books,2012,124,Dihadiahkan,English,F,FE ,LEE,2,,
00341,9789814315272,"Jordon Koh, Where Did You Go? My Night In A Haunted Hotel",James Lee,Angsana Books,2012,124,Dihadiahkan,English,F,FE ,LEE,2,,
00342,9789813056923,All My Friends Have Vanished! What's That Thing in My Pillow?,James Lee,Angsana Books,2005,126,Dihadiahkan,English,F,FE,LEE,1,,
00343,9789814193955,The Beam Of Doom The Grave Busters,James Lee,Angsana Books,2010,126,Dihadiahkan,English,F,FE ,LEE,1,,
00344,9789814193504,The Mystery Of The Seventh Sword,James Lee,Angsana Books,2008,124,Dihadiahkan,English,F,FE,LEE,1,,
00345,9780679890546,The Empty Envelope,Ron Roy,Random House,1998,78,Dihadiahkan,English,F,FE,ROY,1,,
00346,9780375802690,The Ninth Nugget,Ron Roy,Random House,2001,86,Dihadiahkan,English,F,FE,ROY,1,,
00347,9780375824838,The Zombie Zone,Ron Roy,Random House,2005,84,Dihadiahkan,English,F,FE,ROY,1,,
00348,9780375824791,The Vampire's Vacation,Ron Roy,Random House,2004,84,Dihadiahkan,English,F,FE,ROY,1,,
00349,9789830683263,Silap Mata Sains - Di Dalam Bilik Tidur,Richard Robinson,Institut Terjemahan Negara Malaysia,2009,90,Dihadiahkan,Malay,NF,507.8,RIC,1,,
00350,9781407107561,My Friends Call Me Monster,Robert Lawrence Stine,Scholastic,2012,138,Dihadiahkan,English,F,FE,STI,1,,
00351,9780439918701,Creep From The Deep,Robert Lawrence Stine,Scholastic Paperbacks,2008,160,Dihadiahkan,English,F,FE,STI,1,,
00352,9789833865741,The Mystery Of The Brown Teddy Bears,K. Stephanie,Mostgain Resources Publications,2010,98,Dihadiahkan,English,F,FE,STE,1,,
00353,9789833865758,The Adventures Of The Little Wood Mouse,K. Stephanie,Mostgain Resources Publications,2010,91,Dihadiahkan,English,F,FE ,STE,1,,
00354,9789833865734,The Mystery Of The Pavilion of Fun,K. Stephanie,Mostgain Resources Publications,2010,93,Dihadiahkan,English,F,FE ,STE,1,,
00355,9780545873734,School Freezes Over!,Jack Chabert,Scholastic ,2016,90,Dihadiahkan,English,F,FE,CHA,1,,
00356,9780439376129,"Captain Underpants And The Big, Bad Battle Of The Bionic Booger Boy, Part 2: The Revenge Of The Ridiculous Robo- Boogers",Dav Pilkey,Scholastic,2003,173,Dihadiahkan,English,F,FE,PIL,1,,
00357,9780439997201,Perishing Poles (Horrible Geography),"Anita Ganeri, Mike Phillips",Scholastic Hippo,2002,128,Dihadiahkan,English,NF,910,GAN,1,,
00358,9789670411538,Miss Spa Lawan Gadis Kampung,Ain Maisarah,Blink Book,2015,107,Dihadiahkan,Malay,NF,899.2333,SIN,1,,
00359,9789670411491,Miss Sorak Lawan Budak Kawad,Ain Maisarah; Norolain; Ramzan Kasirin,Blink Book,2015,97,Dihadiahkan,Malay,NF,899.2333,AIN,1,,
00360,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00361,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00362,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00363,9789675234668,Seni Kulinari : Ukiran Hiasan Penyeri Meja,Buku Prima,Buku Prima,2009,95,12.90,Malay,NF,745.924,SEN,8,,
00364,9789811192524,Profession Series 17: The Daredevil Guardians,Popono Workshop,Ace Mind Publishing Pte. Ltd.,2019,127,Dihadiahkan,English,NF,741.59,POP,1,,
00365,9780007231072,How To Be An Ancient Greek In 25 Easy Stages,Scoular Anderson,Collins Educational,2008,55,Dihadiahkan,English,F,FE,AND,1,,
00366,9780007428335,Wild Cat,"Berlie Doherty, Zara Slattery, Collins Big Cat Staff",Harper Collins Publishers Limited,2012,80,Dihadiahkan,English,F,FE,DOH,1,,
